T   P   el   H   H2   He   C2H2   CH4   CO   CO2   H2O   H2S   HCN   K   Na   NH3   PH3   TiO   VO   Fe   Fe+   Mg   Ca   Ti   Ti+   V   C   Cr   Ni   Mn   Ca+   Li   OH

1.000000E+08

5.000000E+03   1.000000E+08   2.938063E-06   1.699507E-01   6.962554E-01   1.330768E-01   1.320009E-06   6.344372E-06   3.458389E-04   1.821206E-08   3.353209E-04   6.495378E-06   6.738153E-06   1.845755E-08   1.019961E-06   1.113034E-05   7.498161E-09   2.833584E-09   6.177395E-11   4.475036E-05   3.080154E-07   2.880738E-05   1.719909E-06   1.164915E-07   1.141213E-08   1.438408E-08   3.085269E-06   3.515189E-07   1.405608E-06   2.897230E-07   8.360747E-07   2.977552E-09   8.403622E-05
4.900000E+03   1.000000E+08   2.540802E-06   1.533116E-01   7.116669E-01   1.342857E-01   1.374245E-06   7.386318E-06   3.513954E-04   1.874120E-08   3.459053E-04   7.060660E-06   6.950068E-06   2.031966E-08   1.101431E-06   1.199237E-05   8.563233E-09   3.203920E-09   6.894811E-11   4.523348E-05   2.349254E-07   2.909618E-05   1.816539E-06   1.191007E-07   9.294626E-09   1.466372E-08   2.315602E-06   3.441431E-07   1.568886E-06   2.880961E-07   7.265334E-07   3.004641E-09   7.458810E-05
4.800000E+03   1.000000E+08   2.183440E-06   1.375400E-01   7.262751E-01   1.354317E-01   1.425674E-06   8.593353E-06   3.562557E-04   1.923227E-08   3.558937E-04   7.655246E-06   7.134145E-06   2.239353E-08   1.185115E-06   1.286539E-05   9.759531E-09   3.623633E-09   7.692028E-11   4.567986E-05   1.772447E-07   2.937890E-05   1.907286E-06   1.212581E-07   7.479790E-09   1.491152E-08   1.716261E-06   3.357881E-07   1.723137E-06   2.860590E-07   6.235775E-07   3.030318E-09   6.567465E-05
4.700000E+03   1.000000E+08   1.864419E-06   1.226768E-01   7.400417E-01   1.365118E-01   1.474047E-06   9.994938E-06   3.604292E-04   1.968648E-08   3.652665E-04   8.277754E-06   7.289985E-06   2.470926E-08   1.270333E-06   1.374783E-05   1.110121E-08   4.101610E-09   8.581862E-11   4.609130E-05   1.321624E-07   2.965746E-05   1.991389E-06   1.229716E-07   5.944192E-09   1.512955E-08   1.255217E-06   3.265520E-07   1.863306E-06   2.836431E-07   5.284009E-07   3.054518E-09   5.735112E-05
4.600000E+03   1.000000E+08   1.582005E-06   1.087537E-01   7.529376E-01   1.375237E-01   1.519037E-06   1.162691E-05   3.639194E-04   2.010549E-08   3.740206E-04   8.926238E-06   7.417249E-06   2.730438E-08   1.356361E-06   1.463893E-05   1.260395E-08   4.648792E-09   9.580156E-11   4.646941E-05   9.728514E-08   2.993352E-05   2.068384E-06   1.242503E-07   4.661129E-09   1.531989E-08   9.050835E-07   3.165293E-07   1.985830E-06   2.808770E-07   4.418105E-07   3.077188E-09   4.965759E-05
4.500000E+03   1.000000E+08   1.334129E-06   9.579225E-02   7.649425E-01   1.384658E-01   1.560206E-06   1.353299E-05   3.667226E-04   2.049130E-08   3.821713E-04   9.598140E-06   7.515552E-06   3.022385E-08   1.442406E-06   1.553882E-05   1.428508E-08   5.278689E-09   1.070655E-10   4.681567E-05   7.060236E-08   3.020853E-05   2.138067E-06   1.251018E-07   3.602739E-09   1.548449E-08   6.427755E-07   3.058113E-07   2.088850E-06   2.777872E-07   3.642621E-07   3.098294E-09   4.261917E-05
4.400000E+03   1.000000E+08   1.118351E-06   8.380424E-02   7.760455E-01   1.393373E-01   1.596968E-06   1.576674E-05   3.688255E-04   2.084628E-08   3.897534E-04   1.029021E-05   7.584335E-06   3.351906E-08   1.527578E-06   1.644858E-05   1.616382E-08   6.008051E-09   1.198552E-10   4.713146E-05   5.044313E-08   3.048378E-05   2.200452E-06   1.255302E-07   2.741514E-09   1.562516E-08   4.490951E-07   2.944862E-07   2.172087E-06   2.743980E-07   2.959148E-07   3.117817E-09   3.624662E-05
4.300000E+03   1.000000E+08   9.319430E-07   7.279160E-02   7.862447E-01   1.401380E-01   1.628549E-06   1.839379E-05   3.702044E-04   2.117307E-08   3.968247E-04   1.099851E-05   7.622778E-06   3.724587E-08   1.610900E-06   1.737034E-05   1.826159E-08   6.857774E-09   1.344783E-10   4.741813E-05   3.542703E-08   3.076044E-05   2.255739E-06   1.255343E-07   2.051042E-09   1.574347E-08   3.082958E-07   2.826400E-07   2.236518E-06   2.707324E-07   2.366688E-07   3.135754E-09   3.053733E-05
4.200000E+03   1.000000E+08   7.720157E-07   6.274659E-02   7.955471E-01   1.408686E-01   1.653947E-06   2.149477E-05   3.708212E-04   2.147458E-08   4.034674E-04   1.171839E-05   7.629680E-06   4.146151E-08   1.691338E-06   1.830733E-05   2.060224E-08   7.854064E-09   1.513248E-10   4.767699E-05   2.441937E-08   3.103960E-05   2.304282E-06   1.251062E-07   1.506411E-09   1.584080E-08   2.076416E-07   2.703566E-07   2.283957E-06   2.668124E-07   1.861973E-07   3.152119E-09   2.547677E-05
4.100000E+03   1.000000E+08   6.356638E-07   5.365230E-02   8.039684E-01   1.415303E-01   1.671881E-06   2.516855E-05   3.706218E-04   2.175391E-08   4.097920E-04   1.244451E-05   7.603367E-06   4.622016E-08   1.767866E-06   1.926400E-05   2.321252E-08   9.029986E-09   1.708939E-10   4.790940E-05   1.649266E-08   3.132233E-05   2.346569E-06   1.242299E-07   1.084407E-09   1.591825E-08   1.369805E-07   2.577183E-07   2.316648E-06   2.626590E-07   1.439744E-07   3.166939E-09   2.104002E-05
4.000000E+03   1.000000E+08   5.200836E-07   4.548321E-02   8.115318E-01   1.421249E-01   1.680756E-06   2.953627E-05   3.695328E-04   2.201426E-08   4.159413E-04   1.317097E-05   7.541616E-06   5.156705E-08   1.839554E-06   2.024609E-05   2.612266E-08   1.042748E-08   1.938313E-10   4.811674E-05   1.089627E-08   3.160966E-05   2.383184E-06   1.228795E-07   7.637616E-10   1.597663E-08   8.834485E-08   2.448056E-07   2.336931E-06   2.582924E-07   1.093187E-07   3.180257E-09   1.719353E-05
