Nested Sampling Global Log-Evidence           :    0.438001885761485696E+08  +/-    0.228782813866299450E+00
Nested Importance Sampling Global Log-Evidence:    0.438001864246959016E+08  +/-    0.100923218374020476E+00

Dim No.       Mean        Sigma
   1   -0.405904321655104994E+01    0.593558754106769393E+00
   2   -0.508968236904289384E+01    0.517881965403601430E+00
   3    0.266028750850827146E+04    0.435162114895538878E+03
   4   -0.418224270975431978E+01    0.582797970912649066E+00
   5   -0.467816046197009172E+00    0.348301122335513524E+00
   6    0.131882780615885231E+01    0.444107984699236014E+00
   7    0.569225914146817114E+00    0.224200703267021684E+00
   8    0.260267199952521011E+00    0.252506341442182737E-01
   9   -0.899482682953239521E+00    0.161286487354384445E+01
  10   -0.704521684620140309E+00    0.958773055289694698E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.392843837109624783E+01
   2   -0.498142831287288068E+01
   3    0.291111929027408860E+04
   4   -0.474859940189103913E+01
   5   -0.561541099077613737E+00
   6    0.108660686062824485E+01
   7    0.682172961675335587E+00
   8    0.266658461445030304E+00
   9   -0.901290673910782658E+00
  10   -0.690656397159372659E+00

MAP Parameters
Dim No.        Parameter
   1   -0.392843837109624783E+01
   2   -0.498142831287288068E+01
   3    0.291111929027408860E+04
   4   -0.474859940189103913E+01
   5   -0.561541099077613737E+00
   6    0.108660686062824485E+01
   7    0.682172961675335587E+00
   8    0.266658461445030304E+00
   9   -0.901290673910782658E+00
  10   -0.690656397159372659E+00
