Nested Sampling Global Log-Evidence           :    0.468522159932001829E+08  +/-    0.212711593304322044E+00
Nested Importance Sampling Global Log-Evidence:    0.468522139162366092E+08  +/-    0.680225741378485127E-01

Dim No.       Mean        Sigma
   1   -0.398498654995447632E+01    0.654428328938175263E+00
   2   -0.459444637177807014E+01    0.559743369843256566E+00
   3    0.232513932107893424E+04    0.491421090449982898E+03
   4   -0.378506643840516999E+01    0.786275439196523318E+00
   5   -0.776703717642370006E+00    0.384689906842237028E+00
   6    0.122664966871082282E+01    0.471634073571839951E+00
   7    0.585562545731123207E+00    0.208664814662513909E+00
   8    0.251606891716677272E+00    0.260645745418688901E-01
   9    0.138538569864116079E+01    0.408071967997341201E+01
  10   -0.136846773367350161E+01    0.236090314927627443E+01
  11    0.650990065209945534E+01    0.128590622666348686E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.369055134646523264E+01
   2   -0.429423462790137300E+01
   3    0.215768392679699082E+04
   4   -0.376945544061665139E+01
   5   -0.102753650136646524E+01
   6    0.111222526220449414E+01
   7    0.659552154642621846E+00
   8    0.250217745213279052E+00
   9    0.443508757526206665E+00
  10   -0.213576979265931044E+01
  11    0.689901851324162863E+01

MAP Parameters
Dim No.        Parameter
   1   -0.369055134646523264E+01
   2   -0.429423462790137300E+01
   3    0.215768392679699082E+04
   4   -0.376945544061665139E+01
   5   -0.102753650136646524E+01
   6    0.111222526220449414E+01
   7    0.659552154642621846E+00
   8    0.250217745213279052E+00
   9    0.443508757526206665E+00
  10   -0.213576979265931044E+01
  11    0.689901851324162863E+01
