Nested Sampling Global Log-Evidence           :    0.468522115332696587E+08  +/-    0.224144580042632602E+00
Nested Importance Sampling Global Log-Evidence:    0.468522094922768995E+08  +/-    0.350142271612736838E-01

Dim No.       Mean        Sigma
   1   -0.425544452800813300E+01    0.628985462965226838E+00
   2   -0.487918561375360227E+01    0.543141564357047191E+00
   3    0.212877877267902431E+04    0.475650190121857179E+03
   4   -0.324060421034713242E+01    0.113353473057281207E+01
   5   -0.535845453885200218E+00    0.399612351877451810E+00
   6    0.133326010124356298E+01    0.419829350027455861E+00
   7    0.636869212101459969E+00    0.203890577814772017E+00
   8    0.272364748743926022E+00    0.421922540996432227E-01
   9   -0.131654832101905761E+00    0.555048982604057617E+01
  10   -0.248631668177302467E+01    0.362076895027023316E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.408821009774993627E+01
   2   -0.485705674353856853E+01
   3    0.152586853381896435E+04
   4   -0.153809152400306060E+01
   5   -0.264387380945702688E+00
   6    0.162211020711422194E+01
   7    0.945176141785302737E+00
   8    0.193789474850217303E+00
   9    0.318001291462907076E+01
  10    0.310146792573252839E+00

MAP Parameters
Dim No.        Parameter
   1   -0.408821009774993627E+01
   2   -0.485705674353856853E+01
   3    0.152586853381896435E+04
   4   -0.153809152400306060E+01
   5   -0.264387380945702688E+00
   6    0.162211020711422194E+01
   7    0.945176141785302737E+00
   8    0.193789474850217303E+00
   9    0.318001291462907076E+01
  10    0.310146792573252839E+00
