Nested Sampling Global Log-Evidence           :    0.468522159708066285E+08  +/-    0.179113965972582612E+00
Nested Importance Sampling Global Log-Evidence:    0.468522138006715775E+08  +/-    0.246980887415152138E-01

Dim No.       Mean        Sigma
   1   -0.389434954625698460E+01    0.654200427023581499E+00
   2   -0.454904165396942428E+01    0.565813163147551146E+00
   3    0.225519856945850142E+04    0.454571053864403211E+03
   4   -0.374943331049887929E+01    0.805876153688550145E+00
   5   -0.814097187833486946E+00    0.393503596530126121E+00
   6    0.126013726556135897E+01    0.464291274232072781E+00
   7    0.606383505565526448E+00    0.212069346451765089E+00
   8    0.252466530915630649E+00    0.267164129415112146E-01
   9    0.123868884505919219E+01    0.401540236112967186E+01
  10   -0.145109826951547571E+01    0.230799258076475322E+01
  11    0.659204155881172227E+01    0.131299494381183268E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.385118920843753898E+01
   2   -0.444229147771762278E+01
   3    0.219874765523118595E+04
   4   -0.389224508327954499E+01
   5   -0.858842127634137142E+00
   6    0.107793382874510435E+01
   7    0.701340135622523619E+00
   8    0.249083903993903899E+00
   9    0.519408454532399588E+00
  10   -0.200686121541696849E+01
  11    0.626059919521853736E+01

MAP Parameters
Dim No.        Parameter
   1   -0.385118920843753898E+01
   2   -0.444229147771762278E+01
   3    0.219874765523118595E+04
   4   -0.389224508327954499E+01
   5   -0.858842127634137142E+00
   6    0.107793382874510435E+01
   7    0.701340135622523619E+00
   8    0.249083903993903899E+00
   9    0.519408454532399588E+00
  10   -0.200686121541696849E+01
  11    0.626059919521853736E+01
